"Predictor","Coefficient","Std_Error","CI_Lower","CI_Upper","P_Value"
"(Intercept)",-12.9450792727346,2.83933063217088,-18.5170247429037,-7.37313380256564,5.79145663270153e-06
"Age",0.0936706888833512,0.0209315066649545,0.0525943829314677,0.134746994835235,8.54348664428874e-06
"PosC",6.13079547737116,2.78280678492881,0.669773261799019,11.5918176929433,0.0278225721130577
"PosPF",5.55522291390098,2.793404101869,0.0734043629349079,11.037041464867,0.0470160173669235
"PosPG",4.81918749177623,2.80154564319164,-0.678608143288065,10.3169831268405,0.0857174014450681
"PosSF",5.03966843787976,2.80162605747716,-0.458285003397323,10.5376218791569,0.0723555618923499
"PosSG",5.0312587933172,2.80230545193349,-0.468027901939011,10.5305454885734,0.0729015161096827
"PTS",0.161603133878392,0.023399502915355,0.115683594675684,0.207522673081099,8.995800206188e-12
"ORB",0.275273838791802,0.167555152996233,-0.0535389331913702,0.604086610774973,0.100731167035579
"AST",0.23287328824318,0.0920082657083202,0.0523148729875358,0.413431703498825,0.0115308950390469
"STL",2.05258553518932,0.288553420822848,1.48632392837308,2.61884714200555,2.19915407773235e-12
"BLK",0.887085498891661,0.321837106643683,0.255507482517959,1.51866351526536,0.00595535751243194
